stop_id,stop_name,stop_lon,stop_lat
41128,BERLIER/FACE AU 1261,-73.741841,45.586383
41129,BERLIER/FACE AU 1705,-73.743948,45.584651
41130,BERNINA/BEDARD,-73.720508,45.597351
41131,BERNINA/BEDARD,-73.720444,45.597558
41132,BERNINA/BOISVERT,-73.719447,45.598072
41133,BERNINA/BOISVERT,-73.719548,45.597865
41134,BERNINA/LUCERNE,-73.718526,45.598677
41140,BLOIS/LEBLANC,-73.683692,45.58875
41144,BLOIS/LEVIS,-73.680928,45.590077
41145,BLOIS/LEVIS,-73.680877,45.590284
41146,BLOIS/LEBLANC,-73.683423,45.588697
41147,B.-BOULOGNE/SOUVENIR,-73.702852,45.570371
41148,B.-BOULOGNE/SOUVENIR,-73.703028,45.570073
41149,B.-D.-BOULOGNE/FACE AU 777,-73.704187,45.571763
41150,B.-D.-BOULOGNE/FACE AU 794,-73.703955,45.571205
41152,B.-D.-BOULOGNE/FACE AU 830,-73.704957,45.572112
41153,B.-D.-BOULOGNE/TOURAINE,-73.70609,45.573577
41154,B.-D.-BOULOGNE/S. MARTIN,-73.710169,45.578132
41155,C.-CHARBONNEAU/SAMSON,-73.781684,45.522206
41156,B.-D.-L'EAU/FACE AU 300,-73.789523,45.518173
41157,B.-D.-L'EAU/LARIVIERE,-73.793975,45.51782
41158,B.-D.-L'EAU/LARIVIERE,-73.794333,45.517711
41159,B.-D.-L'EAU/FABERT,-73.798049,45.518493
41160,B.-D.-L'EAU/FABERT,-73.798395,45.518447
41161,B.-D.-L'EAU/ZEPHYR,-73.800931,45.518764
41162,B.-D.-L'EAU/ZEPHYR,-73.800917,45.518647
41163,B.-D.-L'EAU/CAPRICIEUSE,-73.803466,45.518956
41164,B.-D.-L'EAU/JARDINS S. DOROTHEE,-73.806925,45.519513
41165,B.-D.-L'EAU/CAPRICIEUSE,-73.803543,45.518883
41167,B.-D.-L'EAU/ROSEAUX,-73.780435,45.520715
41174,B.-D.-L'EAU/SAMSON,-73.824866,45.520858
41175,B.-D.-L'EAU/FACE AU 896,-73.827477,45.520725
41176,B.-D-L'EAU/RAPIDES,-73.826519,45.520642
41177,B.-D.-L'EAU/GUIZOT,-73.830651,45.520734
41178,B.-D.-L'EAU/GUIZOT,-73.830907,45.520598
41179,B.-D.-L'EAU/LYNNE,-73.835825,45.521061
41180,B.-D.-L'EAU/FACE AU 125,-73.781815,45.520289
41181,B.-D.-L'EAU/FAUVEL,-73.835687,45.520931
41182,B.-D.-L'EAU/PATRICK,-73.83899,45.521645
41183,B.-D.-L'EAU/DION,-73.838951,45.521537
41184,B.-D.-L'EAU/BIBEAU,-73.840926,45.522071
41185,B.-D.-L'EAU/BIBEAU,-73.840912,45.52199
41186,B.-D.-L'EAU/JUDITH,-73.844784,45.522888
41187,B.-D.-L'EAU/MAROIS,-73.845437,45.522976
41188,B.-D.-L'EAU/JOANIE,-73.848487,45.52347
41189,B.-D.-L'EAU/JOANIE,-73.848153,45.523318
41190,B.-D.-L'EAU/DUPONT,-73.853951,45.523148
41191,B.-D.-L'EAU/ISLEMERE,-73.849973,45.523718
41192,B.-D.-L'EAU/FACE AU 125,-73.781789,45.520217
41193,B.-D.-L'EAU/LAFONTAINE,-73.849614,45.523575
41194,B.-D.-L'EAU/JOLIBOURG,-73.852545,45.523584
41195,B.-D.-L'EAU/FACE AU 1368,-73.858302,45.522891
41196,GARE S. DOROTHEE,-73.861205,45.523392
41197,B.-D.-L'EAU/FACE AU 1368,-73.858377,45.522747
41198,GARE S. DOROTHEE,-73.860922,45.523354
41199,B.-D.-L'EAU/SEIGNEURIE,-73.784102,45.519455
41200,C.-CHARBONNEAU/SAMSON,-73.781402,45.522225
41201,B.-D.-L'EAU/DUPONT,-73.853798,45.523301
41202,B.-D.-L'EAU/DOMAINE,-73.78437,45.519212
41203,B.-D.-L'EAU/MONTREUIL,-73.786915,45.518845
41204,B.-D.-L'EAU/MONTREUIL,-73.7874,45.518619
41205,B.-D.-L'EAU/FACE AU 295,-73.789421,45.518308
41206,RENAISSANCE/M.-A.-FORTIN,-73.800971,45.600748
41208,BROCHU/BERARD,-73.758059,45.649381
41209,BROCHU/BELLEHUMEUR,-73.756033,45.649574
41212,CHIMENE/ LEA,-73.589251,45.67
41213,CHIMENE/ LEA,-73.589392,45.669784
41215,CAROLE/MUGUET,-73.821826,45.530855
41216,CAROLE/MUGUET,-73.822172,45.530926
41218,S.MARTIN/CAROLE,-73.823703,45.532353
41219,CARTIER/J.-J.-JOUBERT,-73.670902,45.572941
41220,CARTIER/EMILE,-73.687512,45.559165
41221,CARTIER/CONRAD,-73.690051,45.558973
41222,CARTIER/CONRAD,-73.689739,45.558728
41223,CARTIER/8E AV.,-73.692431,45.558942
41224,CARTIER/8E AV.,-73.693009,45.558618
41225,CARTIER/15E RUE,-73.697128,45.557549
