ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
01C0B2DD00A55F8AF39B3FEA5F2CE7F683DD9B52_107;41348;42528;1;55378;55678;56434;[(41348, 42528, 2792224)]
026514F384A367BE2180E66148450D59D918E4F7_165;47031;41873;1;51731;52031;54870;[(47031, 41873, 2791078)]
0323587B6B07DDBD72CA122642495B7E03EA0F30_216;42718;43996;1;48229;48529;49472;[(42718, 43996, 2793437)]
032C0B9FEE6434D46BD6ED7817F9BAE410084F91_217;43110;43144;1;51293;51593;52788;[(43110, 43144, 2792966)]
033ED86CB7A993C5FEA3D43AEDD235D23D1EDB61_221;47031;41798;1;53201;53501;54556;[(47031, 41798, 2792164)]
076262E8C933E08D7F4A430F07D6AF3CC994A799_511;41963;41956;1;49506;49806;51084;[(41963, 41956, 2790073)]
082C33D0571B3FA513FDE3349C4FA6D85CC356CB_568;43018;43434;1;54124;54424;55328;[(43018, 43434, 2790587)]
0856B49493E8DEBD34710640BF1E0FCC52DF2B2E_578;42720;41806;1;53150;53450;54594;[(42720, 41806, 2790255)]
0895F9CD98D9B0E11DD1D9796E976070B7AE4337_596;43509;41369;1;57263;57563;59424;[(43509, 41369, 2793790)]
0908CFA5C00EFD869D0A5EE876BC8010C571ED70_637;42561;41390;1;52669;52969;53838;[(42561, 41390, 2792457)]
0E230206678C90310AD9B6D400984E8B6462CC1B_991;41807;41808;1;49452;49752;55140;[(41807, 41813, 2792601), (41816, 41808, 2793456)]
0FB138946DFBE802EF824C32140B4B602C3CAC21_1072;43137;43144;1;51746;52046;52788;[(43137, 43144, 2792966)]
1042263717_1159;43434;42481;1;54444;54744;55998;[(43434, 42481, 2790587)]
104288887_1162;43116;43148;1;51411;51711;52882;[(43116, 43148, 2792966)]
104288888_1163;43116;43148;1;51423;51723;52882;[(43116, 43148, 2792966)]
104288889_1164;43120;43148;1;51475;51775;52882;[(43120, 43148, 2792966)]
1047AC3DC5FFC119DA11E03E640B501FBA44837E_1187;41380;42412;1;56171;56471;60016;[(41380, 42412, 2792275)]
10FEC9CF6C12014049169DFEC7FA2B71D6F4735F_1277;41937;43507;1;55729;56029;56782;[(41937, 43507, 2792275)]
111133734_1285;47031;41807;1;53193;53493;54814;[(47031, 41807, 2792164)]
111133739_1286;41842;41798;1;53514;53814;54556;[(41842, 41798, 2792164)]
1210313692_1366;43507;41339;1;55908;56208;57634;[(43507, 41339, 2792275)]
13E2DB37506FE74787B162E579412925985A8F95_1553;41380;42447;1;56173;56473;60280;[(41380, 42447, 2792275)]
141102564429966_1587;41842;41800;1;51846;52146;52942;[(41842, 41800, 2791078)]
141156814600370_1590;43507;42457;1;55964;56264;60360;[(43507, 42457, 2792275)]
141156814600382_1593;43507;41990;1;55953;56253;59442;[(43507, 41990, 2792275)]
1553338284_1707;41263;42886;1;48489;48789;51366;[(41263, 42886, 2790317)]
1553338288_1708;41444;46277;1;49487;49787;50990;[(41444, 46277, 2790317)]
1553338289_1709;41454;42886;1;49903;50203;51366;[(41454, 42886, 2790317)]
166CF51C12A389A5E7889378B6FBE4B2FD41C13B_1886;41856;41878;1;55523;55823;56800;[(41856, 41878, 2792164)]
1674566630_1907;43145;43136;1;52952;53252;53992;[(43145, 43136, 2793244)]
1776068975_2104;41934;43928;1;57158;57458;58292;[(41934, 43928, 2792213)]
189F2B96EDE97C11267EDE414950E20493974C14_2286;43509;42112;1;56023;56323;58858;[(43509, 42112, 2792275)]
18D058B9A3C4CB6D39E03887E87DCEB4F2A75C42_2310;41850;41801;1;53402;53702;55236;[(41850, 41801, 2793456)]
192DCEE95C9B95D36855D1BDC9995BEA21750978_2336;43148;42412;1;57087;57387;61230;[(43148, 42412, 2793790)]
1A4A6713D28B23DC86608FDD00F93BF831E7ED03_2408;42482;43030;1;55399;55699;57622;[(42482, 43030, 2792110)]
1B32ACB6B9B2EB3AA15F5F2109B0DC1D373DCDF9_2475;47031;41849;1;53161;53461;56058;[(47031, 41849, 2792164)]
1FF73F4D2053CA42904661ED32FB6D581F598338_2781;41444;41454;1;49511;49811;50790;[(41444, 41454, 2790317)]
21E60D4A91E60074789AC619C0E9B9C59B6A9007_2940;41461;41426;1;48564;48864;49862;[(41461, 41426, 2790317)]
2346597E714AF283E59373616E95AF91CCE2F3C3_3018;41263;41424;1;48480;48780;49764;[(41263, 41424, 2790317)]
2546AC7EC3756D6DF0B4C7FD5DC8356527B38143_3204;41982;41388;1;56139;56439;57230;[(41982, 41388, 2792224)]
25C0B706F7BD64D6B26CE1ABBE92757FD8453877_3244;41502;42513;1;54636;54936;56146;[(41502, 42513, 2792110)]
280F4FECCF52060626E2D9FA50E2B30B9AC329E7_3416;47031;41813;1;53196;53496;54968;[(47031, 41813, 2792164)]
292C680A4E7D9D12A8FC35F9879FD7C2CB53D6FC_3485;43509;41363;1;57256;57556;59352;[(43509, 41363, 2793790)]
2C07FDF3273D83EE184B5F38394D44CD66EBE8E8_3687;43507;42008;1;57142;57442;60930;[(43507, 42008, 2793790)]
2EC20E1EA0C899F6666CA06AD9C45915248A8158_3907;41809;41822;1;53990;54290;55054;[(41809, 41822, 2792164)]
301EBCFD8330663EB741C372E78D4FE36C62B962_3993;43507;41367;1;55937;56237;58150;[(43507, 41367, 2792275)]
3026902CB1255803A0C2444B7CF304B704E4DCF9_3997;42493;41179;1;55338;55638;58052;[(42493, 41179, 2793046)]
334273303C11DFD0ED71F0757E82B62B0FA92510_4243;43509;41388;1;57252;57552;59708;[(43509, 41388, 2793790)]
3345938F7C09FD8121D948C99A6458B3B35BDFDD_4245;41369;42411;1;57298;57598;59974;[(41369, 42411, 2792275)]
38E5D2FA74F89F9D0F6FBDCB3544F860A9610D62_4638;43343;43121;1;56976;57276;58726;[(43343, 43121, 2794318)]
3C19FB79A862572967E478B40519560A050C1227_4897;43507;41327;1;55933;56233;57446;[(43507, 41327, 2792275)]
3C274240C99AC8BB63DBE528B9034BF55249762D_4901;47031;41813;1;53203;53503;54968;[(47031, 41813, 2792164)]
3DF2F832F878ED7C0E753AEDCB0E251FD04C9D14_5039;41831;41907;1;49842;50142;51399;[(41831, 41907, 2792601)]
3EA5635BE2DBB1A6FE3F266272EE112D821483DD_5084;41348;41353;1;51857;52157;52804;[(41348, 41353, 2792457)]
41683C4007921403F10AD77C96149D6F70F55059_5257;43110;43122;1;51296;51596;52446;[(43110, 43122, 2792966)]
42CF7359B3E22A9BE5847BE15B44F1199DA7BD9D_5333;42718;41907;1;50101;50401;51399;[(42718, 41907, 2792601)]
4497E4EE68191F826D0F0DC24DED8DB8F01801BB_5436;41833;41864;1;54663;54963;56584;[(41833, 41864, 2792164)]
46184320A971A142DDE7964620716CB8FB44AE24_5567;43438;43393;1;57210;57510;59620;[(43438, 43393, 2794318)]
490A2E428958485051642E6DCC617ADB95A475D8_5770;41842;41800;1;53518;53818;54614;[(41842, 41800, 2792164)]
