ID;origin;destination;nb_passengers;release_time;ready_time;due_time;legs
02ACF2F5F0913B8530A91F62077EE2DFB719DA3F_178;41865;41798;1;62557;62857;63586;[(41865, 41798, 2791206)]
054626EB482D0F4053EA480B27F7A47A551B2FBE_370;48039;42156;1;64098;64398;66020;[(48039, 42156, 2792088)]
06DA7F104A977C011316ABD67FB07EB7448842AE_467;41883;41866;1;60080;60380;61298;[(41883, 41866, 2794170)]
07CE7BFA5D49CB2949291CBD1D61DE3B37D23128_540;41415;41460;1;66465;66765;67608;[(41415, 41460, 2793966)]
087D63366C9AA3EC485DB201EF32D3CFCE65DF7B_583;41028;41880;1;64237;64537;67296;[(41028, 41880, 2792088)]
09E911ECAC679FD81E0A82A801720B88838080C5_704;46591;46341;1;63462;63762;66720;[(46591, 46341, 2793476)]
0AADDDF5499E477B9E0D5B6975CF835DA27AB846_760;48039;42160;1;64073;64373;66104;[(48039, 42160, 2792088)]
0E2C43C80E2C96DC76C9A40BC8CE2C204943E359_995;46100;41880;1;61206;61506;63366;[(46100, 41880, 2792342)]
0EBA30AA79BC12DDB17A2B5C1FD49A0EF14A8F46_1019;48039;41916;1;64108;64408;65370;[(48039, 41916, 2792088)]
0EBFE21D3550403AD8373E2D85FC02B557F039C9_1023;42912;41415;1;63872;64172;67336;[(42912, 43007, 2793283), (43007, 41415, 2793966)]
124056592E5C0723BF89D8D7983C676529DC0C40_1400;41831;42968;1;66427;66727;69284;[(41831, 42968, 2793601)]
128BF9E7C8DB4084EA6809BA7F77B25B88158BC6_1423;41708;42148;1;61216;61516;63704;[(41708, 42148, 2792387)]
150E3C4EF5E25F4561F66D50D6FDDBFDE07D2C02_1675;41958;41880;1;63755;64055;67296;[(41958, 41880, 2792088)]
1560938675_1758;42257;42774;1;61801;62101;63048;[(42257, 42774, 2792062)]
15C47FFF91FB130E99B6E1312AB7F61C0E70CFDC_1787;41946;42774;1;65133;65433;66434;[(41946, 42774, 2793248)]
1762380125_2077;42974;42968;1;68264;68564;69284;[(42974, 42968, 2793601)]
1769295299_2080;41849;42901;1;59411;59711;61058;[(41849, 42901, 2794024)]
18F5915A8E6872407260AB645B150087CE18BE74_2328;48039;42715;1;64080;64380;66226;[(48039, 42715, 2792088)]
1948B7E7B8778BB535A5E2889643098679AD0E1C_2347;41848;41854;1;66896;67196;67916;[(41848, 41854, 2793601)]
1976F4D41DE56EEB982C601325AB5A33C422A5E9_2363;41708;41577;1;61197;61497;64212;[(41708, 41577, 2792387)]
1A2821EC9AC1EBA58B6315BCD5FCA9B6B063A184_2402;41708;46131;1;61218;61518;64810;[(41708, 46131, 2792387)]
1A83907A23584F4296FF800D8678D16CBDC2B3C6_2428;46591;41301;1;63456;63756;64494;[(46591, 41301, 2793476)]
1B214FF09CCE730B7DB8DBC43840A1EAF2CF9EBD_2471;42774;42470;1;65544;65844;66706;[(42774, 42470, 2793248)]
1B8DD6C4B4DAF3FCED97E9F90DA0423A564F7862_2493;41813;46316;1;62648;62948;65992;[(41813, 43007, 2793283), (43007, 46316, 2793966)]
1CE1E9028D4BA7DE14C28AD543A3A680DF544100_2584;42457;42034;1;59274;59574;60412;[(42457, 42034, 2790616)]
20C7898E559FBEACD5652A39FA984CFF9CEC1D25_2829;41952;42537;1;61230;61530;63224;[(41952, 42537, 2794397)]
2304E841C37A39F1434F322CFEB91E8AB2BE6611_3006;41431;42141;1;63368;63668;65242;[(41431, 42141, 2793476)]
248BB042217EAF5992ACB48366A2DB38E3B9E1AD_3137;46261;41799;1;66465;66765;67770;[(46261, 41799, 2793248)]
24BA8A342FD18C2F5815328B7A0CA1F0A261780C_3149;41846;41869;1;63871;64171;65180;[(41846, 41869, 2791206)]
25337DC1B31B264D0DBCDB798580FC02E30875A6_3194;41863;41850;1;60462;60762;61680;[(41863, 41850, 2794170)]
2692AFF29D26AC6E237DB52E97E4B76A3D327382_3311;41573;46134;1;63248;63548;64906;[(41573, 46134, 2792387)]
275468266ED7185D3E5DDC24B252A125E834609D_3380;41958;42718;1;63758;64058;66174;[(41958, 42718, 2792088)]
2AB0537DA94D375E7F4E4AFF3A980651B94F0914_3585;41431;41301;1;63397;63697;64494;[(41431, 41301, 2793476)]
2D46A8418204D7369E900B9F31587DB1E4BF60F4_3780;41872;41830;1;60306;60606;62398;[(41872, 41830, 2794170)]
2DFF0E7A7470BD30E81C7E703896C23151E668A2_3845;46038;46040;1;65919;66219;66892;[(46038, 46040, 2792217)]
2EA7F4D394BB0D0736E8966B704BC95BC8EC9520_3898;48039;41092;1;64075;64375;66590;[(48039, 41092, 2792088)]
3240DA87AE42FA97D3E9DC8100FA37D63A3B15ED_4169;41849;42968;1;63565;63865;65854;[(41849, 42968, 2793283)]
361F2923C43CD6323FDFCE1190D395B1C77E7B2B_4446;41813;41831;1;63056;63356;64306;[(41813, 41831, 2791206)]
36212553C65DF37E3F4A15294D581409E261D37D_4450;42123;42010;1;58105;58405;59720;[(42123, 42010, 2790616)]
379FA90346480E6520B24FF2E53CBABC3193306C_4540;41431;41566;1;63370;63670;66118;[(41431, 41566, 2793476)]
38B0AA1C92D75DEDCA56407EFD3663B4F7667ECF_4625;41798;41807;1;65836;66136;66920;[(41798, 41807, 2793601)]
